statecode,countycode,fipscode,state,county,year,Smoker,Obese,Food Environment Index,Alcohol,Mammogram,Unemployment,Air Polution,Population
1,1,1001,AL,Autauga County,2015,0.217,0.313,7.2,0.167,0.68797954,0.056874828,12.92,55246
4,1,4001,AZ,Apache County,2015,0.184,0.319,0.9,0.134,0.31840796,0.197964979,9.82,71934
5,1,5001,AR,Arkansas County,2015,0.22,0.351,6.1,0.115,0.446428571,0.0665351,12.27,18777
6,1,6001,CA,Alameda County,2015,0.106,0.205,7.6,0.194,0.600738481,0.074131777,8.46,1578891
8,1,8001,CO,Adams County,2015,0.216,0.249,7.7,0.189,0.502252252,0.07542612,13.48,469193
9,1,9001,CT,Fairfield County,2015,0.12,0.196,8.3,0.206,0.653688188,0.070702619,10.64,939904
10,1,10001,DE,Kent County,2015,0.212,0.327,7.9,0.161,0.693212186,0.069176231,11.91,169416
11,1,11001,DC,District of Columbia,2015,0.157,0.215,8,0.196,0.639344262,0.083064764,12.65,646449
12,1,12001,FL,Alachua County,2015,0.144,0.246,6.2,0.141,0.647858942,0.054150972,11.62,253451
13,1,13001,GA,Appling County,2015,0.278,0.347,6.8,0,0.530054645,0.10023661,12.63,18440
15,1,15001,HI,Hawaii County,2015,0.187,0.245,6.8,0.218,0.643522439,0.067682081,0,190821
16,1,16001,ID,Ada County,2015,0.152,0.244,7.6,0.16,0.65002713,0.054687651,9,416464
17,1,17001,IL,Adams County,2015,0.295,0.351,8.3,0.164,0.64664311,0.064623124,10.76,67130
18,1,18001,IN,Adams County,2015,0.208,0.287,7.9,0.135,0.52284264,0.066365008,13.42,34614
19,1,19001,IA,Adair County,2015,0.185,0.323,8.6,0.188,0.693333333,0.038976015,9.61,7472
20,1,20001,KS,Allen County,2015,0.19,0.344,6.6,0.11,0.547945206,0.055367379,8.15,13124
21,1,21001,KY,Adair County,2015,0.34,0.334,7.4,0,0.438202247,0.082964243,13.48,18732
22,1,22001,LA,Acadia Parish,2015,0.236,0.323,8.1,0.179,0.619122257,0.056496953,10.36,62204
23,1,23001,ME,Androscoggin County,2015,0.183,0.313,7.3,0.165,0.703233256,0.064156539,10.28,107604
24,1,24001,MD,Allegany County,2015,0.23,0.28,6.7,0.155,0.736895161,0.078498199,13.18,73521
25,1,25001,MA,Barnstable County,2015,0.142,0.183,8.3,0.179,0.778011573,0.075928583,10.12,214990
26,1,26001,MI,Alcona County,2015,0.295,0.31,7.6,0.26,0.733606557,0.119957817,11.41,10578
27,1,27001,MN,Aitkin County,2015,0.144,0.271,7.6,0.151,0.78021978,0.071124537,11.69,15742
28,1,28001,MS,Adams County,2015,0.23,0.371,4.2,0.126,0.651474531,0.08553419,10.68,32090
29,1,29001,MO,Adair County,2015,0.263,0.299,6.5,0.196,0.6171875,0.05417176,9.74,25572
30,1,30001,MT,Beaverhead County,2015,0.11,0.245,7.3,0.114,0.685185185,0.045124283,10.36,9341
31,1,31001,NE,Adams County,2015,0.151,0.292,7.8,0.161,0.63322884,0.035449765,11.5,31610
32,1,32001,NV,Churchill County,2015,0.235,0.316,7.4,0.179,0.541935484,0.082068053,12.74,24063
33,1,33001,NH,Belknap County,2015,0.181,0.295,8.6,0.166,0.699092088,0.051815766,10.4,60179
34,1,34001,NJ,Atlantic County,2015,0.201,0.268,6.7,0.181,0.612767584,0.120152063,11.24,275862
35,1,35001,NM,Bernalillo County,2015,0.175,0.197,6.9,0.13,0.590163934,0.069337432,9.45,674221
36,1,36001,NY,Albany County,2015,0.174,0.258,7.9,0.189,0.642655367,0.062553738,11.1,306945
37,1,37001,NC,Alamance County,2015,0.238,0.332,6.2,0.123,0.718074656,0.079842321,12.47,154378
38,1,38001,ND,Adams County,2015,0.112,0.304,8.6,0.168,0.482758621,0.023029229,9.79,2360
39,1,39001,OH,Adams County,2015,0.251,0.296,7.1,0,0.446280992,0.113651819,13.14,28105
40,1,40001,OK,Adair County,2015,0.304,0.347,6.8,0.105,0.478448276,0.076326774,10.95,22194
