State,Average Annual Count_bladder,Recent 5-Year Trend (‡) in Death Rates_bladder,Average Annual Count_brain_and_ons,Recent 5-Year Trend (‡) in Death Rates_brain_and_ons,Average Annual Count_breast,Recent 5-Year Trend (‡) in Death Rates_breast,Average Annual Count_cervix,Recent 5-Year Trend (‡) in Death Rates_cervix,Average Annual Count_childhood<15_years,Recent 5-Year Trend (‡) in Death Rates_childhood<15_years,Average Annual Count_colon_and_rectum,Recent 5-Year Trend (‡) in Death Rates_colon_and_rectum,Average Annual Count_esophagus,Recent 5-Year Trend (‡) in Death Rates_esophagus,Average Annual Count_kidney_and_renal,Recent 5-Year Trend (‡) in Death Rates_kidney_and_renal,Average Annual Count_leukemia,Recent 5-Year Trend (‡) in Death Rates_leukemia,Average Annual Count_liver_and_bileduct,Recent 5-Year Trend (‡) in Death Rates_liver_and_bileduct,Average Annual Count_lung_and_bronchus,Recent 5-Year Trend (‡) in Death Rates_ung_and_bronchus,Average Annual Count_nonhodgkin_lymphoma,Recent 5-Year Trend (‡) in Death Rates_nonhodgkin_lymphoma,Average Annual Count_oral_cavity_and_pharynx,Recent 5-Year Trend (‡) in Death Rates_oral_cavity_and_pharynx,Average Annual Count_ovary,Recent 5-Year Trend (‡) in Death Rates_ovary,Average Annual Count_pancreas,Recent 5-Year Trend (‡) in Death Rates_pancreas,Average Annual Count_prostate,Recent 5-Year Trend (‡) in Death Rates_prostate,Average Annual Count_skin_melanoma,Recent 5-Year Trend (‡) in Death Rates_skin_melanoma,Average Annual Count_stomach,Recent 5-Year Trend (‡) in Death Rates_stomach,Average Annual Count_thyroid,Recent 5-Year Trend (‡) in Death Rates_thyroid,Average Annual Count_uterus,Recent 5-Year Trend (‡) in Death Rates_uterus
United States,16254,0,16268,0.6,41523,-1.5,4175,-0.7,576,-1.4,52396,-2.4,15211,-1,14448,-0.9,22847,-2.2,25760,1.8,153718,-3.1,20154,-2.2,9754,0.7,13920,-2.3,41615,0.1,28848,-2,8885,-2.7,11330,-1.9,1894,0.7,10096,1.9
Vermont,43,0.4,48,1.2,102,-1.9,112,6.3,18,*,463,-1.5,34,-0.2,275,-0.1,66,-1,56,2,3461,-1.5,41,-1.3,133,0.4,34,-0.4,91,-0.1,64,-3.2,67,0.7,31,6.9,281,1.5,29,0.9
Delaware,63,-1.1,72,-0.1,1803,-1.9,57,-0.8,23,0.2,803,-1.1,105,0.3,195,0,177,-0.4,221,2.4,1492,-1.5,269,-1.8,32,0.2,57,-1.3,466,0.5,195,-2.6,78,0.6,219,-1.6,31,1,54,1.5
Nevada,156,0.2,197,-0.8,729,-1.3,83,0.2,26,0,610,-1.3,48,1.6,220,0.3,325,-0.3,476,2.3,2124,-1.8,121,-2.3,178,-1.4,118,-0.2,689,0.9,483,-3.1,160,0.8,30,*,155,1.1,552,0.6
Oregon,260,0.2,55,-0.5,540,-1.2,60,-1.1,39,-1.2,110,-2.6,68,0.8,363,-0.6,542,-0.5,150,1,1910,-2.3,488,-2.3,117,-0.7,230,-0.6,638,0.3,316,-4,37,-1,73,-4.4,49,1.6,473,2.7
Maine,100,0.2,181,4.9,941,-1.6,65,-1.3,17,*,859,-2,107,0.7,1182,-0.9,177,-0.6,2247,1.9,4355,-2.3,771,-2.3,165,7.4,355,-3.5,151,0.6,495,-3.9,17,*,1637,-2.2,20,*,774,1.4
Montana,71,0.2,37,0.2,208,-1.7,45,-1.9,17,*,595,-1.3,35,0.8,165,0.3,60,-0.9,285,1.6,2459,-1.9,41,-1.2,169,2.8,105,-1,237,0.2,494,-4,105,0.2,53,-3.8,38,0.1,123,0.7
Rhode Island,74,0,200,-0.5,424,-1,112,-2.2,36,-0.7,948,-1,754,-0.7,152,0,244,-0.6,3357,2.2,3870,-1.7,875,-2.6,145,0.7,36,8.1,2096,0.6,688,0,175,0.2,388,-3.5,62,-0.1,214,0.4
Oklahoma,223,1.2,305,2,1781,-0.8,46,-1.6,22,-1.7,849,-2.4,68,0,338,-0.2,240,-0.3,351,3.4,2654,-2.3,101,-2.7,20,-4.4,77,-1.5,1770,1.5,804,-3.7,245,0.2,186,-2.4,22,1.6,51,1.7
Kentucky,255,0.4,98,-0.2,2036,-2.2,407,-1.8,57,-1.6,2342,-2.8,397,0.8,115,0.2,967,-0.8,351,0.4,978,-1.1,304,-2.3,179,-0.9,327,0.3,1517,-0.1,556,-1.1,73,0.2,207,-2.3,40,0.8,78,0.8
Ohio,721,0.3,249,-0.5,615,-1.6,72,-2.6,71,-1.3,169,-2.1,126,1.3,154,0.4,225,-0.4,404,5.3,3863,-1.9,458,-2.5,221,2.3,143,-0.9,105,0.3,443,-2.9,48,-0.1,371,-2.2,41,0.8,214,1.3
Indiana,376,0.3,109,-0.2,825,-2,94,-2.3,17,-1.2,489,-1.7,616,-0.4,36,-0.8,806,-0.7,441,2.1,7193,-2.1,267,-2.1,311,2,490,-0.8,405,0.5,607,-3.2,27,*,204,-2.1,18,*,336,0.7
New Hampshire,84,-0.6,316,1.4,1397,-1.7,90,-0.1,17,-1.6,1606,0.3,411,-1.5,97,-0.1,464,-0.7,593,2.9,2980,-3.5,134,-1.8,176,-2.3,119,1.6,807,0.3,465,-2.3,65,0.9,238,-3.1,37,4.4,25,*
