State,State_name, FIPS,Bladder_incd,Bladder_count,Brain_incd,Brain_count,Breast_incd,Breast_count,Breastinsitu_incd,Breastinsitu_count,Cervix_incd,Cervix_count,Child_less_15_incd,Child_less_15_count,Child_less_20_incd,Child_less_20_count,colon_rectum_incd,colon_rectum_count,Esophagus_incd,Esophagus_count,Kidney_incd,Kidney_count,Leukemia_incd,Leukemia_count,Liver_incd,Liver_count,Lung_incd,Lung_count,Melanoma_incd,Melanoma_count,NonHodgkinL_incd,NonHodgkinL_count,Oral_Pharynx_incd,Oral_Pharynx_count,Ovary_incd,Ovary_count,Pancreas_incd,Pancreas_count,Prostate_incd,Prostate_count,Stomach_incd,Stomach_count,Thyroid_incd,Thyroid_count,Uterus_incd,Uterus_count
USA,United States,0,19.5,73067,6.4,22328,124.8,242476,29.6,56671,7.6,12845,16.6,10150,18.3,15110,38,140789,4.5,17281,16.6,61816,13.1,46911,8.3,32906,57.5,218510,22.1,80440,18.4,67510,11.6,44430,11,21429,12.8,48241,99.1,183524,6.4,23695,14.5,48761,26.8,54644
AL,Alabama,1000,18.1,1076,6.3,342,123.3,3813,26.4,804,9.4,237,16.5,150,18.2,224,42.7,2493,4.7,292,17.9,1050,12,674,7.6,469,63.6,3901,22.4,1261,16.1,931,13.2,783,11.2,344,12.9,765,118.7,3416,6.4,377,9.9,520,19.9,630
AK,Alaska,2900,24.1,144,7.1,51,122,426,28.8,103,8.2,29,14.2,23,15.3,32,42.5,294,4.8,32,19,136,10.9,72,7.7,61,53.5,351,12.1,79,17.8,122,11,80,9.3,36,10,67,61,228,9,58,9.9,74,24,86
AZ,Arizona,4000,18.5,1566,5.7,432,110.9,4619,24.3,990,7.3,241,18.3,246,19.2,347,31.8,2583,3.9,337,15.4,1238,11.3,864,7.8,673,46.5,3975,23.3,1879,14.8,1189,9.2,757,9.9,411,11,932,78,3239,5.1,412,13.5,955,23.6,1007
AR,Arkansas,5000,18.2,667,6.2,210,117.1,2168,27.6,508,10.4,162,15.7,92,16.7,131,45,1582,4.2,157,19.2,680,13.6,475,7.2,271,77.3,2897,22.3,770,16.9,609,13.9,510,12,216,11.8,433,115,2070,6.7,244,13.7,426,23.8,449
CA,California,6000,16.2,6696,5.9,2377,121.4,26731,27.8,6126,7.1,1426,17.3,1312,18.9,1931,35,14609,3.5,1482,14.9,6234,11.8,4790,9.7,4260,41,16920,22.9,9549,18.1,7469,10.3,4390,11.5,2531,11.6,4861,87.1,17655,7.2,2970,13.3,5393,25.8,5888
CO,Colorado,8000,17.3,980,6.8,384,123.4,3741,26.4,804,6.3,177,15.2,159,17,237,32.9,1892,4.4,260,13.8,809,12.1,686,7.3,460,40.5,2311,21.2,1239,17.1,982,11.2,689,9.8,302,10.4,613,81.6,2459,5.4,307,14.3,819,20.9,685
CT,Connecticut,9000,25.8,1156,7.2,300,143.9,3322,43,958,6,121,16.4,101,17.1,149,35.3,1578,4.9,227,16.1,704,12.5,534,8.3,400,57.2,2580,20.6,883,21.9,968,12.2,562,12.2,293,13.8,629,108.8,2380,7.8,343,17.9,704,29.3,724
DE,Delaware,10000,24.6,300,5.1,58,136.2,840,36.6,225,8.3,39,18.3,31,19.6,45,39.4,457,5.3,64,16.5,205,12.7,147,7.7,99,71.8,884,29.5,346,19.3,234,13.1,161,8.9,56,14.8,181,124.5,751,7.2,84,14.2,144,32.4,208
DC,District of Columbia,11001,11.1,71,2.6,19,121.1,414,38.7,131,8.9,33,14.9,16,17.3,25,31,202,4,26,10.1,70,7.3,46,12.8,90,42.5,277,7.8,52,12.7,80,10.1,68,12.5,45,17.2,111,103.2,299,8.1,53,12.1,85,26.9,97
FL,Florida,12000,17.7,5264,6.3,1541,113.8,15822,26.1,3590,8.7,947,18.7,634,20,917,34.9,9696,4.3,1273,14.4,3921,11.9,3094,7.9,2276,54.9,16223,23.7,6484,16.6,4486,12.8,3545,10.7,1503,12.4,3609,78.2,10874,5.4,1532,12.5,2782,23.9,3524
GA,Georgia,13000,18,1851,6.1,643,126.4,7374,28.3,1680,8.1,435,16.6,344,18,500,41.7,4477,4.2,469,16.5,1800,13.5,1400,8.1,918,60.5,6512,27.1,2868,18.3,1922,13.1,1460,10.6,618,13,1379,115.2,6066,6.5,697,12.5,1319,23.7,1460
HI,Hawaii,15000,14.7,264,4.1,65,134.8,1179,36.2,303,6.5,46,14.2,37,15.4,52,41.3,713,3.5,64,14.8,252,10,164,10.8,205,43.8,807,23.1,399,14.9,266,12.6,220,9.9,86,13.6,247,87.4,761,8.1,149,14.7,218,30.1,266
ID,Idaho,16000,20,379,8.8,155,124.7,1170,23.3,215,5.7,47,16.1,58,18.3,87,35.3,645,4.2,81,16.1,297,16.5,298,7.7,156,49.7,937,28,500,19.7,364,12.5,234,10.3,96,14.2,267,98.7,949,6,114,15.6,260,24.9,247
IL,Illinois,17000,21.7,3179,6.5,896,134.5,10354,32.6,2456,7.2,495,15.5,379,18.1,599,42.8,6251,5,758,18.1,2653,13,1832,7.9,1201,64,9469,20.6,2917,19.7,2844,12.3,1835,11.5,893,13.8,2035,106.8,7663,7.3,1064,16.1,2167,29.8,2430
IN,Indiana,18000,20.9,1599,6.1,438,121.3,4858,27.4,1090,8.6,289,18.1,237,19,336,41.6,3133,5.3,420,18.7,1419,13,945,6.6,541,72.3,5592,20.5,1513,18.6,1384,12.4,966,9.9,403,13.3,1033,83.3,3109,5.8,444,13,864,28.5,1164
IA,Iowa,19000,21.5,851,6.6,235,129,2467,28.6,527,7.2,114,18.8,114,20.6,170,43.6,1672,5.6,221,18.8,722,15.6,582,6.2,244,62.7,2466,26.5,955,21.5,806,13.6,524,9.6,197,12.5,493,103.4,1976,5,190,14.8,478,29.6,601
KS,Kansas,20000,19.5,659,6.5,200,129.7,2220,25.9,420,9,126,18.7,112,19.2,154,38.3,1268,4.3,144,18.9,622,15.7,509,6.9,243,58.8,1992,25.3,804,19,628,12.1,414,10.5,181,12.2,407,101.8,1677,4.9,163,16.7,499,28.4,505
