County, FIPS,Age_Adjusted_Rate,State
"Autauga County, Alabama(6,10)",1001,482.1,AL
"Baldwin County, Alabama(6,10)",1003,437.3,AL
"Barbour County, Alabama(6,10)",1005,424.3,AL
"Bibb County, Alabama(6,10)",1007,473,AL
"Blount County, Alabama(6,10)",1009,423.7,AL
"Bullock County, Alabama(6,10)",1011,444.1,AL
"Butler County, Alabama(6,10)",1013,413.2,AL
"Calhoun County, Alabama(6,10)",1015,455.8,AL
"Chambers County, Alabama(6,10)",1017,506,AL
"Cherokee County, Alabama(6,10)",1019,432.7,AL
"Chilton County, Alabama(6,10)",1021,427.8,AL
"Choctaw County, Alabama(6,10)",1023,423.1,AL
"Clarke County, Alabama(6,10)",1025,463.2,AL
"Clay County, Alabama(6,10)",1027,457.4,AL
"Cleburne County, Alabama(6,10)",1029,483.6,AL
"Coffee County, Alabama(6,10)",1031,423.4,AL
"Colbert County, Alabama(6,10)",1033,432.6,AL
"Conecuh County, Alabama(6,10)",1035,470.9,AL
"Coosa County, Alabama(6,10)",1037,369.2,AL
"Covington County, Alabama(6,10)",1039,463.3,AL
"Crenshaw County, Alabama(6,10)",1041,448.4,AL
"Cullman County, Alabama(6,10)",1043,434.6,AL
"Dale County, Alabama(6,10)",1045,454,AL
"Dallas County, Alabama(6,10)",1047,489.3,AL
"DeKalb County, Alabama(6,10)",1049,384.8,AL
"Elmore County, Alabama(6,10)",1051,468.8,AL
"Escambia County, Alabama(6,10)",1053,427.1,AL
"Etowah County, Alabama(6,10)",1055,471.7,AL
"Fayette County, Alabama(6,10)",1057,452.5,AL
"Franklin County, Alabama(6,10)",1059,418.3,AL
"Geneva County, Alabama(6,10)",1061,434,AL
"Greene County, Alabama(6,10)",1063,467.1,AL
"Hale County, Alabama(6,10)",1065,417.2,AL
"Henry County, Alabama(6,10)",1067,446.5,AL
"Houston County, Alabama(6,10)",1069,445.4,AL
"Jackson County, Alabama(6,10)",1071,454.1,AL
"Jefferson County, Alabama(6,10)",1073,450.6,AL
"Lamar County, Alabama(6,10)",1075,464.3,AL
"Lauderdale County, Alabama(6,10)",1077,416,AL
"Lawrence County, Alabama(6,10)",1079,467.6,AL
"Lee County, Alabama(6,10)",1081,408.7,AL
"Limestone County, Alabama(6,10)",1083,455.5,AL
"Lowndes County, Alabama(6,10)",1085,470,AL
"Macon County, Alabama(6,10)",1087,458.1,AL
"Madison County, Alabama(6,10)",1089,423.2,AL
"Marengo County, Alabama(6,10)",1091,448.4,AL
"Marion County, Alabama(6,10)",1093,460,AL
"Marshall County, Alabama(6,10)",1095,440.2,AL
"Mobile County, Alabama(6,10)",1097,445.3,AL
"Monroe County, Alabama(6,10)",1099,442,AL
"Montgomery County, Alabama(6,10)",1101,426.6,AL
"Morgan County, Alabama(6,10)",1103,452.3,AL
"Perry County, Alabama(6,10)",1105,433.5,AL
"Pickens County, Alabama(6,10)",1107,419.6,AL
"Pike County, Alabama(6,10)",1109,435.7,AL
"Randolph County, Alabama(6,10)",1111,430.9,AL
"Russell County, Alabama(6,10)",1113,488.2,AL
"St. Clair County, Alabama(6,10)",1115,455.9,AL
"Shelby County, Alabama(6,10)",1117,424.5,AL
"Sumter County, Alabama(6,10)",1119,435.9,AL
"Talladega County, Alabama(6,10)",1121,442.7,AL
"Tallapoosa County, Alabama(6,10)",1123,463.5,AL
"Tuscaloosa County, Alabama(6,10)",1125,447.6,AL
"Walker County, Alabama(6,10)",1127,488,AL
"Washington County, Alabama(6,10)",1129,417.3,AL
"Wilcox County, Alabama(6,10)",1131,484.9,AL
"Winston County, Alabama(6,10)",1133,427.7,AL
"Aleutians East Borough, Alaska(6,10)",2013,251.4,AK
"Aleutians West Census Area, Alaska(6,10)",2016,375.6,AK
"Anchorage Borough, Alaska(6,10)",2020,422.7,AK
"Bethel Census Area, Alaska(6,10)",2050,311.7,AK
"Bristol Bay Borough, Alaska(6,10)",2060,455.6,AK
"Denali, Alaska(6,10)",2068,248.6,AK
"Dillingham Census Area, Alaska(6,10)",2070,354.7,AK
"Fairbanks North Star, Alaska(6,10)",2090,393.3,AK
"Haines Borough, Alaska(6,10)",2100,354.6,AK
"Juneau Borough, Alaska(6,10)",2110,367.5,AK
"Kenai Peninsula Borough, Alaska(6,10)",2122,397.7,AK
"Ketchikan Gateway Borough, Alaska(6,10)",2130,445.6,AK
"Kodiak Island Borough, Alaska(6,10)",2150,382.3,AK
"Lake and Peninsula Borough, Alaska(6,10)",2164,560.1,AK
"Matanuska-Susitna Borough, Alaska(6,10)",2170,435.6,AK
"Nome Census Area, Alaska(6,10)",2180,452.8,AK
"North Slope Borough, Alaska(6,10)",2185,442.2,AK
"Northwest Arctic Borough, Alaska(6,10)",2188,352.6,AK
"Prince of Wales-Outer Ketchikan, Alaska(6,10)",2201,464.6,AK
"Sitka Borough, Alaska(6,10)",2220,324.7,AK
"Skagway Hoonah Angoon Census Area, Alaska(6,10)",2232,374.5,AK
"Southeast Fairbanks Census Area, Alaska(6,10)",2240,400.1,AK
"Valdez-Cordova Census Area, Alaska(6,10)",2261,399.9,AK
"Wade Hampton Census Area, Alaska(6,10)",2270,329.7,AK
"Wrangell-Petersburg Census Area, Alaska(6,10)",2280,383.8,AK
"Yakutat City and Borough, Alaska(6,10)",2282,0,AK
"Yukon-Koyukuk Census Area, Alaska(6,10)",2290,499.8,AK
"Apache County, Arizona(6,10)",4001,274.8,AZ
"Cochise County, Arizona(6,10)",4003,357.9,AZ
"Coconino County, Arizona(6,10)",4005,357.3,AZ
"Gila County, Arizona(6,10)",4007,328.2,AZ
"Graham County, Arizona(6,10)",4009,387.9,AZ
"Greenlee County, Arizona(6,10)",4011,347.2,AZ
"La Paz County, Arizona(6,10)",4012,300.1,AZ
"Maricopa County, Arizona(6,10)",4013,392.6,AZ
"Mohave County, Arizona(6,10)",4015,435.4,AZ
"Navajo County, Arizona(6,10)",4017,335.3,AZ
"Pima County, Arizona(6,10)",4019,378.2,AZ
"Pinal County, Arizona(6,10)",4021,348.5,AZ
"Santa Cruz County, Arizona(6,10)",4023,302.4,AZ
"Yavapai County, Arizona(6,10)",4025,392.1,AZ
"Yuma County, Arizona(6,10)",4027,334.2,AZ
"Arkansas County, Arkansas(6,10)",5001,463.8,AR
"Ashley County, Arkansas(6,10)",5003,463.2,AR
"Baxter County, Arkansas(6,10)",5005,468.7,AR
"Benton County, Arkansas(6,10)",5007,432.2,AR
"Boone County, Arkansas(6,10)",5009,446.5,AR
"Bradley County, Arkansas(6,10)",5011,506.1,AR
"Calhoun County, Arkansas(6,10)",5013,426.4,AR
"Carroll County, Arkansas(6,10)",5015,398.7,AR
"Chicot County, Arkansas(6,10)",5017,401.3,AR
"Clark County, Arkansas(6,10)",5019,454.1,AR
"Clay County, Arkansas(6,10)",5021,503.3,AR
"Cleburne County, Arkansas(6,10)",5023,452.6,AR
"Cleveland County, Arkansas(6,10)",5025,431.9,AR
"Columbia County, Arkansas(6,10)",5027,403,AR
"Conway County, Arkansas(6,10)",5029,409,AR
"Craighead County, Arkansas(6,10)",5031,434.4,AR
"Crawford County, Arkansas(6,10)",5033,450.7,AR
"Crittenden County, Arkansas(6,10)",5035,413.1,AR
"Cross County, Arkansas(6,10)",5037,461.9,AR
"Dallas County, Arkansas(6,10)",5039,522.3,AR
"Desha County, Arkansas(6,10)",5041,431.1,AR
"Drew County, Arkansas(6,10)",5043,435.1,AR
"Faulkner County, Arkansas(6,10)",5045,470.6,AR
"Franklin County, Arkansas(6,10)",5047,394.8,AR
"Fulton County, Arkansas(6,10)",5049,376.5,AR
"Garland County, Arkansas(6,10)",5051,487,AR
"Grant County, Arkansas(6,10)",5053,521.7,AR
"Greene County, Arkansas(6,10)",5055,446.2,AR
"Hempstead County, Arkansas(6,10)",5057,365.9,AR
"Hot Spring County, Arkansas(6,10)",5059,413.6,AR
"Howard County, Arkansas(6,10)",5061,418.4,AR
"Independence County, Arkansas(6,10)",5063,452.6,AR
"Izard County, Arkansas(6,10)",5065,391.4,AR
"Jackson County, Arkansas(6,10)",5067,509.2,AR
"Jefferson County, Arkansas(6,10)",5069,489.5,AR
"Johnson County, Arkansas(6,10)",5071,430,AR
"Lafayette County, Arkansas(6,10)",5073,349,AR
"Lawrence County, Arkansas(6,10)",5075,469.7,AR
"Lee County, Arkansas(6,10)",5077,430.9,AR
"Lincoln County, Arkansas(6,10)",5079,384.7,AR
"Little River County, Arkansas(6,10)",5081,444.4,AR
"Logan County, Arkansas(6,10)",5083,421.6,AR
"Lonoke County, Arkansas(6,10)",5085,501.3,AR
"Madison County, Arkansas(6,10)",5087,406.9,AR
"Marion County, Arkansas(6,10)",5089,472,AR
"Miller County, Arkansas(6,10)",5091,434,AR
"Mississippi County, Arkansas(6,10)",5093,428.7,AR
"Monroe County, Arkansas(6,10)",5095,501.3,AR
"Montgomery County, Arkansas(6,10)",5097,426.2,AR
"Nevada County, Arkansas(6,10)",5099,399.9,AR
"Newton County, Arkansas(6,10)",5101,340.6,AR
"Ouachita County, Arkansas(6,10)",5103,463,AR
"Perry County, Arkansas(6,10)",5105,490.8,AR
"Phillips County, Arkansas(6,10)",5107,450.7,AR
"Pike County, Arkansas(6,10)",5109,452.2,AR
"Poinsett County, Arkansas(6,10)",5111,520.9,AR
"Polk County, Arkansas(6,10)",5113,411.9,AR
"Pope County, Arkansas(6,10)",5115,443.5,AR
"Prairie County, Arkansas(6,10)",5117,488.9,AR
"Pulaski County, Arkansas(6,10)",5119,474.5,AR
"Randolph County, Arkansas(6,10)",5121,481.8,AR
"St. Francis County, Arkansas(6,10)",5123,378.6,AR
"Saline County, Arkansas(6,10)",5125,459.5,AR
"Scott County, Arkansas(6,10)",5127,437.4,AR
"Searcy County, Arkansas(6,10)",5129,415.6,AR
"Sebastian County, Arkansas(6,10)",5131,439.6,AR
"Sevier County, Arkansas(6,10)",5133,348.3,AR
