State,Age_Adjust_Rate_State
AK,10181.7
AL,29845.2
AR,33279
AZ,5272.1
CA,23813.9
CO,22990
CT,3768.3
DC,456.5
DE,1499
FL,28176.6
GA,71641.4
HI,1563.2
IA,45821.2
ID,17683.4
IL,48887.9
IN,41035
KS,0
KY,61901
LA,30448.1
MA,6443
MD,11012
ME,7422.9
MI,34705.5
MN,0
MO,50238.2
MS,37729.7
MT,23906.4
NC,45310.9
ND,22581.5
NE,39134.2
NH,4740.3
NJ,10230.9
NM,12103.4
NV,0
NY,30441.1
OH,39580.3
OK,33392.7
OR,15147.6
PA,31652.2
PR,354.9
RI,2387.9
SC,20487.7
SD,29277.3
TN,44156.5
TX,95358.6
UT,11301.5
VA,56699
VT,6312.6
WA,16370.8
WI,31982.7
WV,25481.7
WY,8916.5
